"V1"	"V2"
"484"	-0.393079	-0.077343
"485"	-0.484269	-0.409077
"486"	-0.683538	-0.450804
"487"	-0.70288	-0.575868
"488"	-0.493388	-0.416871
"489"	-0.498438	-0.00032498
"490"	-0.528754	-0.524001
"491"	-0.290221	-0.162859
"492"	-0.61701	-0.677498
"493"	-0.432125	-0.939001
"494"	-0.923385	-0.165899
"495"	-0.42263	-0.366524
"496"	-0.579775	-0.354705
"497"	-0.484182	-0.379818
"498"	-0.53538	-0.308806
"499"	-0.19551	-0.633938
"500"	-0.512632	-0.160893
"501"	-0.481673	-0.373465
"502"	-0.499828	-0.499006
"503"	-0.261658	-0.162943
"504"	-0.508938	-0.456243
"505"	-0.455351	-0.394325
"506"	-0.52599	-0.311018
"507"	-0.12043	-0.557311
"508"	-0.507935	-0.794509
"509"	-0.920987	-0.581761
"510"	-0.520259	-0.694115
"511"	-0.754577	-0.429549
"512"	-0.414723	-0.363378
"513"	-0.0108779	-0.580775
"514"	-0.148653	-0.403785
"515"	-0.766666	-0.0188876
"516"	-0.891237	-0.882232
"517"	-0.625546	-0.486044
"518"	-0.73133	-0.749097
"519"	-0.473777	-0.275392
"520"	-0.840947	-0.403309
"521"	-0.804368	-0.216071
"522"	-1.0637	-0.446435
"523"	0.258699	-0.638289
"524"	-0.723131	-0.424864
"525"	-0.661621	-0.672615
"526"	0.0648536	-0.522586
"527"	-0.930702	-0.484756
"528"	-0.478662	-0.544036
"529"	-0.286477	-0.898063
"530"	-0.427888	-0.3052
"531"	-0.39334	-0.542052
"532"	-0.415422	-0.604856
"533"	-0.659247	-0.110971
"534"	-0.511485	-0.838219
"535"	-0.958048	-1.04253
"536"	-0.303703	-0.839764
"537"	-0.377262	-0.769052
"538"	-0.586074	-0.848177
"539"	-0.696878	-0.82424
"540"	-0.360198	-0.275399
"541"	-0.616639	-0.406905
"542"	-0.820064	-0.791532
"543"	-0.410859	-0.66288
"544"	-0.475108	-0.260293
"545"	-0.563721	-0.431091
"546"	-0.0416638	-0.524776
"547"	-0.509755	-0.655621
"548"	-0.50907	-0.374732
"549"	-0.510534	-0.648908
"550"	-0.567777	-0.507336
"551"	-0.416129	-1.12594
"552"	-0.63369	-0.6062
"553"	-0.26795	-0.831055
"554"	-0.51298	-0.815641
"555"	-0.389984	-0.605885
"556"	-0.466234	-0.692182
"557"	-0.652126	-0.532088
"558"	-0.435242	-0.490113
"559"	-0.659015	-0.346849
"560"	-0.465086	-0.169102
"561"	-0.42354	-0.435708
"562"	-0.891344	-0.633861
"563"	-0.730346	-0.36743
"564"	-0.676842	-0.772448
"565"	-0.465105	-0.458782
"566"	-0.128094	-0.559706
"567"	-1.09763	-0.757329
"568"	-0.627077	-0.386074
"569"	-0.544433	-0.460266
"570"	-0.498421	-0.492343
"571"	-0.459087	-0.75937
"572"	-0.555957	-0.707296
"573"	-0.913775	-0.505257
"574"	-0.270472	-0.862449
"575"	-0.547246	0.156294
"576"	-0.353999	-0.450493
"577"	-0.310285	-0.781468
"578"	-0.516992	-0.271484
"579"	-0.489519	-0.715496
"580"	-0.470229	-0.579451
"581"	-0.45697	-0.284349
"582"	-0.617667	-0.265859
"583"	-0.316423	0.0353617
"584"	0.0601507	-0.435985
"585"	-0.242252	-0.0831334
"586"	-0.597876	-0.230949
"587"	-0.855238	-0.521521
"588"	-0.174991	-0.531501
"589"	-0.275823	-0.496231
"590"	-0.465719	-0.384044
"591"	-0.540037	-1.00715
"592"	-0.682906	-0.674929
"593"	-0.483169	-0.51213
"594"	-0.0987282	-0.071899
"595"	-0.527847	-0.415457
"596"	-0.563333	-0.436432
"597"	-0.335182	-0.390087
"598"	-0.528817	-0.656703
"599"	-0.443008	-0.602073
"600"	-0.411054	1.88042
"601"	-0.410354	-0.581482
